id,comment,score,polarity,created_at,updated_at
25,"อาจารย์ใจดีมากๆเลยค่ะ ไม่เข้าใจตรงไหนถามได้หมด ตอบไลน์ไวมากๆ ปรึกษาได้ตลอด",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
26,"สอนใช้พวก Mongo DB ด้วยก็ดีครับ",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
27,ผ่านครับ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
28,"อยากให้โปรเจคจบเพิ่มความยากหน่อยครับ จะได้ให้เหมือนซ้อมทำโปรเจคใหญ่ต้องซื้อของนั่นนี่นู้น รวมกลุ่มกันทำ 4 คนแบบจริงจัง อยากได้ภายแบบนี้มากครับ
เห็นเพื่อนมหาลัยอื่นเล่ามาดูน่าสนุกมากครับ",80,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
29,"เรียนออนไลน์ สัปดาห์แรกๆที่มีคลิปที่ อาจาร์ยอัดไว้แล้ว ให้นักศึกษาไปนั่งดูเอง แล้ว อาจาร์ยนัดมาทำควิช ผมรู้สึกว่ามันดีกว่า",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
30,"อาจารย์บางทีปล่อยช้า เนื้อหาที่สอน บางตัวไม่ได้ใช้ และ เวลาการสอนหลายๆบทเรียนไม่ทัน แต่รวมๆดีครับ ได้สนุกกับการเขียนเว็บมากๆ",66.67,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
31,เนื้อหาเยอะดีค่ะแต่ตามไม่ทัน,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
32,"การเรียนการสอนดีมาก สอนได้เข้าใจและปฏิบัติตามได้ดี แต่ไม่ควรขึ้นเสียงใส่นักศึกษาในขณะที่นักศึกษาพูดจาดีๆด้วย การกระทำตุบโต๊ะและตะหวาดเสียงใส่นักศึกษาต่อหน้าทุกคนมันเป็นการกระทำที่ก่อให้เกิดความอับอาย เพราะไม่ใช่นักศึกษาทุกคนที่จะชอบด้านคอมพิวเตอร์หรือมีความรู้ด้านคอมพิวเตอร์ ควรจะใจเย็นและพูดจากับนักศึกษาให้ดีกว่านี้ การกระทำในวันนั้นมันทำให้นักศึกษาฝังใจและไม่อยากเรียนวิชาที่เกี่ยวกับคอมพิวเตอร์อีกเลย",99.59,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
33,"อาจารย์มีการสอนไปด้วย และแทรกอารมณ์ขันเข้าไปด้วยเพื่อไม่ให้นักศึกษาเครียดเกินไป
และการเรียนการสอนในแต่ละอาทิตย์จะมีใบระบุเป็นกิจลักษณะชัดเจน",60,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
34,"บางทีอาจารย์สอนเร็วไปหน่อยค่ะ แต่โดยรวมแล้วอาจารย์สอนเข้าใจได้ง่าย ขอบคุณค่ะ :)",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
35,"ตอนสอบเราต้องการสมาธิมากๆค่ะ แต่ตลอดการสอบอาจารจะพูดคุยหรือบางครั้งก็ขำคิกคักตลอดค่ะ จริงๆอาจารคุยได้นะคะแต่ปิดไมค์เถอะค่ะ เด็กไม่มีสมาธิ เวลาให้ทำข้อสอบก็น้อย อาจารยังพูดเสียงดังอีกค่ะ การเรียนการสอนดีมากแล้ว ติดแค่ตรงนี้ค่ะ",83.33,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
36,"อยากให้อุปกรใน มหาวิทยาลัย ดีกว่านี้",75,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
37,"อาจารย์ใจดี ช่วยสอนนศ.ถ้านศไม่เข้าใจในห้อง",60,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
38,สอนไวไป,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
39,"อาจารย์สอนเข้าใจให้งานไวแล้วก็พูดดีมากๆด้วยค่ะ เนื้อหาครบ แต่อยากให้อาจารย์พูดลดความเร็วตอนสอนลงนิดนึงค่ะ ขอบคุณค่ะอาจารย์สำหรับเทอมนี้ ขอ A ทีนะคะ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
40,ครูผู้สอนใจดีมากไม่เข้าใจตรงไหนถามได้ตลอด,60,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
41,"อาจารย์สอนเข้าใจดีค่ะ แต่อาจารย์พูดเร็วเกิน รอนักศึกษาก่อน555",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
42,"สอนเข้าใจง่าย แสอนเข้าใจง่าย แต่เวลาออกข้อสอบยากมากมากคะ อยากให้อาจารย์ออกง่ายกว่านี้นิดหนึ่ง #อาจารย์น่ารัก",91.43,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
43,อยากให้อาจารย์รับความคิดเห็นของนักศึกษาบ้างค่ะ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
44,"แอร์ที่ห้องเรียนร้อนทุกสัปดาห์ อยากให้ปรับปรุง",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
45,อาจารย์ควรมีไมค์นะคะ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
46,"อาจารย์ใจดีคะ ถ้าใครไม่เข้าใจอาจารย์ก็จะอธิบายให้เข้าใจมากขึ้น มีแบบฝึกหัดมากให้ทำเสมอ มีสื่อประกอบการเรียนเสมอ ได้ทำแบบฝึกหัดตามอาจารย์ไปพร้อมกันซึ่งสามารถนำไปใช้ในชีวิตประจำวันได้ด้วยคะ",57.14,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
47,แอร์ร้อนมากกก,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
48,อาจารย์สอนบางทีไม่ค่อยเข้าใจคะอาจารย์ชอบพูดไวตามไม่ค่อยทันคะ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
49,สอนเร็วไป,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
50,อาจารย์สอนดีแต่สอนไวไปในบางที,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
51,อยากให้อาจารย์ออกสูตรเกี่ยวกับข้อเขียนลดลงหน่อยค่ะ,66.67,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
52,ส่งงานย้อนหลังไม่ได้ค่ะ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
53,"อาจารย์ทำการสอนดีเข้าใจง่ายแต่เนื้อหาอาจมีเยอะยากที่จะสรุปไปบ้าง แต่ก็ถูกแทนด้วยความใจดีและให้โอกาสนักศึกษาได้ลองผิดถูกก่อนการวัดปลจริงมีแบบทดสอบต่างๆที่พัฒนาการช่วยจำได้ดีและยังน่าสนใจคับ",99.08,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
54,สอนทีเหมือนอาจารย์กำลังแร็ปเหมือนไม่ได้มาเรียนเหมือนมาดูเดอะแร็ปเปอร์แต่อาจารย์ก้สอนดีค่ะอาจารย์ให้โอกาสเสมอ,85.71,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
55,"อาจารย์สอนดีมากๆเลยค่ะ พอไม่เข้าใจก็จะย้ำจนกว่าจะจำได้",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
56,เมตตาหนูหน่อยนะคะ,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
57,ดีดีดีดี,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
58,"แรกๆงง หลังๆตื่นเต้่นครับ",66.67,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
59,ดีย์,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
60,"ตรรกะการสอนของอาจารย์ และ วิธีการสอนของอาจารย์ค่อนข้างดีเลย แต่หนูขอฝากบางอย่างไว้นิดนึงในบางทีการที่เด็กเรียนกับอ.คนนั้นคนนี้มาแล้วก็ไม่ได้ความว่าเด็กจะเข้าใจที่อ.คนนั้นนี่สอน เหมือนกับวิชาเอง บางทีหนูอยากให้อาจารย์ลองมองภาพรวมของเด็กบ้างว่า1ใน10มีคนทำวิชาอาจารย์ได้ดีมากแค่ไหนแล้วอยากให้อาจารย์ลองมองย้อนกลับมาดูการสอนของตัวเองสักนิดว่าถ้าเด็ก30กว่าคนมีเข้าใจอยู่10กว่า แบ้ว20กว่าคนที่ไม่เข้าใจอาจารย์จะปบ่อยไปเลยหรือ ที่เหงืออีก20คนมันต้องทีสัก10คนที่พยายามตั้งใจ แต่ก็ไม่เข้าใจอยู่ดี หนูอยากให้อาจารย์ลองปรับเปลี่ยนหรือหาวิธีการสอนเพื่อให้เด็กจำแค่สอบผ่าน แต่ว่าให้เด็ก จำสอบผ่านแบะเข้าใจจริงๆ หนูไม่รู้การประเมินตรงนี้อาจารย์จะได้อ่านมั้ยหรือมีผลต่อคะแนนหรือเปล่า แต่คือความคิดเห็นส่วนตัวหนูค่ะ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
61,"ผมชอบที่น.ศ.สามารถเลือกการเก็บคะเเนนได้ เเต่อยากให้เพิ่มตัวเลือกสำหรับคะแนนถามตอบที่นอกเหนือจากการสอบ เพราะการถามตอบอาจทำให้น.ศ.บางส่วนรู้สึกเครียดเเละกดดันซึ่งส่งผลต่อการเรียนรู้ โดยส่วนตัวผมมองว่าอาจารย์สอนได้ดีเเละมีการออกเเบบ รูปเเบบการเก็บคะเเนนที่ดีครับ

ขอบคุณครับ",90,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
62,"ขอบคุณที่สอนวิชาโหดขนาดนี้ ผ่านร้อนผ่านหนาวมาได้ด้วยประสบการณ์ทะเลาะกันในกลุ่มจนเกือบแตกหัก555 แต่รวมสนุกมากคับเป็นวิชาที่ทำให้ตัวเองรู้สึกมีประโยชน์กับเพื่อนๆและเก่งนะเนี่ยเรา",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
63,"ขอบคุณที่สอนวิชาโหดขนาดนี้ ผ่านร้อนผ่านหนาวมาได้ด้วยประสบการณ์ทะเลาะกันในกลุ่มจนเกือบแตกหัก555 แต่รวมสนุกมากคับเป็นวิชาที่ทำให้ตัวเองรู้สึกมีประโยชน์กับเพื่อนๆและเก่งนะเนี่ยเรา",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
64,"สอนเร็วมาก ตามไม่ทัน",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
65,"คอมค้างบ่อย ช่วยปรับปรุงและพัฒนาให้คอมพิวเตอร์ดีขึ้นหน่อยครับ",60,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
66,"อยากให้เข้าถึงกับศึกษาทุกคน สามารถปรึกษาได้ตลอดเวลา",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
67,อาจารย์เป็นคนที่มีสกิลในการเขียนเทพมากคร้า,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
68,"อาจาร์ยสอนดีมาก แต่สอนเร็วไปหน่อย แต่ไปถามนอกรอบอาจาร์ยก็อธิบายได้เข้าใจ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
69,อาจารย์สอนเร็วไปจนตามไม่ค่อยทันครับ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
70,ช่วยอธิบายเนื้อหาอย่างละเอียดให้เเก่นักศึกษารู้ถึงที่มาเกี่ยวกับเนื้อหานั้นๆ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
71,อาจารย์สอนไวมากเลยคะ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
72,อ่านลายมืออาจารย์ไม่ค่อยออกครับ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
73,อาจารย์สอนเร็วเกินไป,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
74,งานเยอะ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
75,"อย่าพยายามพูดนอกเหนือการสอนเยอะนะครับ นศ.บางคนเค้าไม่ได้อยากรับรู้นะครับจารย์ กราบเรียนมาเพื่อแนะนำ ไม่ได้ว่าหรือถือโกรธ ถือว่าผมแนะนำ",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
76,"สอนเข้าใจดี แต่สอนเร็วไป นักศึกษาบางคนตามไม่ทัน งานเยอะมาก ควรให้พักบ้างระหว่างเรียน",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
77,"อยากให้อาจารย์เตียมความพร้อมในการเตรียมการเรียนการสอน พวกเเอปพลิดคชั่นต่างๆ รวมๆสอนดีเป็นกันเองกับเด็ก",85.71,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
78,อยากให้อาจารย์ปรับการให้การบ้านนักศึกษาเพราะบาวคนอาจไม่มีคอมไม่มีโปรแกรมบางคนทำงานหาค่าเทอมเองอยสกให้เข้าใจและสั่งงานน้อยบงหน่อยค่ะ,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
79,"ด้วยรูปแบบการเรียนการสอนออนไลน์ บางส่วนนักศึกษาไม่มีความพร้อมหรือความสามารถในการทำงานเช่นเรื่องทุนศัพท์ในการซื้อโปรแกรมหรืออุปกรณ์การเรียน อยากให้อาจารย์ปรับเนื้อหาการสอนให้เหมาะสมกับตัวนักศึกษาด้วยค่ะ",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
80,"ตรงๆเลยนะคะ จริงๆแล้วอาจารย์ควรจะปรับปรุงการสอนให้สอดคล้องกับสถานการณ์แล้วไม่ใช่เด็กทุกคนเรียนคอมแล้วต้องมีแอปนู้นแอปนี้นะคะ หนูเสียเงิน1000กว่าบอกเพื่อซื้อแอปมาทำงานและหนูใช้ครั้งเดียวแล้วไม่เกี่ยวกับสายงานหนูด้วยค่ะ อยากให้อาจารย์เอาตรงนี้ไปปรับปรุงตรวจสอบนักศึกษาให้เข้าใจ การเรียนแบบนี้ควรเรียนที่มหาลัยค่ะ การหาแอปการเรียนการสอนไม่ใช้เรื่องของนักศึกษาที่ต้องรับผิดชอบแต่เป็นเป็นมหาลัยที่ต้องจัดการและตัวอาจารย์เอง ขอบคุณค่ะ",80,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
81,"อาจารย์สอนอะไรเยอะแยะเลย ปรับใช้ได้จริง",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
82,"สอนดีมากครับ แต่อยากให้ปรับเนื้อหาให้เข้าใจครับแต่โดยดีมากๆครับ",90.91,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
83,อาจารย์พูดเร็วไปหน่อย,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
84,"อาจารย์ต้องขอ License Adobe มาให้ได้นะจารย์เนื้อหาที่ผมคาดหวังจริงๆ คือ Photoshop Premier Pro นะเอาจริงๆ 5555+ ตั้งแต่งาน 3D ไปเริ่มไม่ค่อยสนุกละครับ Photopea อยากให้เพิ่มเนื้อหาสอนทำ Timeline ทำอนิเมชั่นใน Photopea แล้วก็อยากให้เน้นไปที่ตัดรูปเอาสักสองคาบนั่งฝึกใช้ Tools ตัดรูปแล้วจบท้ายด้วยทำโปสเตอร์หนังก็ได้ครับ น่าสนุกดีครับ ผมเคยเรียนที่โรงเรียนสนุกมากเลยเพิ่มเนื้อหาการลบริ้วรอยบนหน้าด้วย clone stamp อันนี้ทีเด็ดท้าทายมาก สนุกมากด้วย",94.74,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
85,"อาจารย์สอนดี ใจดีมากค่ะ สามารถถามได้ตลอด แต่แอบบไปเร็วมาก",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
86,"ไม่เคยเรียนกับคนนี้ครับ พอใช้ทั้งหมดละกัน ถือว่าไม่รู้อะไรเลย ไม่มาสอนไม่เคยเรีบนด้วย",66.67,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
87,อ.ควรปิดไมค์ในขณะที่ให้ผู้เรียนทำแบบทดสอบต่างๆ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
88,"อาจารย์ควรปิดไมค์ตอนทำแบบทดสอบ เพราะจะรบกวนสมาธิผู้เรียน",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
89,"อาจารย์สอนเข้าใจง่ายดีค่ะ แต่บางทีก็ดูลายมืออาจารย์ไม่ออก5555",75,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
90,"อาจารย์สอนเร็วมากค่ะ ไม่ค่อยเข้าใจต้องไปศึกษาหาความรู้ต่อด้วยตัวเอง",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
91,"แนะนำให้ทำการสื่อสารให้นิสิตเข้าใจในเนื้อหามากกว่านี้ เช่น การพูดที่ไม่ยาวมากแต่กระชับชัดเจน",88.89,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
92,เตรียมสื่อการสอนไว้ด้วย,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
93,"มีบางจุดที่อาจารย์สอนไปเร็วมากๆ ตามเนื้อหาไม่ค่อยทัน",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
94,สอนเร็ว,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
95,สอนดีค่ะ,75,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
96,อาจารย์แร็ปสอนค่ะไม่รู้ว่ารีบไปไหนแต่ว่าไม่ทันอาจารย์ก็จะทวนแต่ก็ไม่ทันอยู่ดีมาเรียนเหมือนมานั่งดูเดอะแร็ปเปอร์แต่อาจารย์ให้โอกาสที่ดีค่ะส่งงานช้าก็ให้คะแนนเหมือนเดิม,85.71,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
97,ดีย์,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
98,"สั่งการบ้าน โดยบอกว่าจะนำโจทย์ขึ้น classroom แต่ไม่ได้เอาลงไว้ให้ และยังให้ส่ง",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
99,แอร์ที่ห้องหนาวจริงๆค่ะ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
100,"ควรเข้าสอนให้ตรงเวลา เวลาสอนไม่ควรยืดเยื้อเกินไป",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
101,"เกรดไม่ยุติธรรม ไปทุกวันจันทร์ ตรงเวลา ไม่เคยขาดเรียน น่าจะมีคะแนนจิตพิสัย ได้สักเกรด B+ เกรด B เป็นอย่างน้อย แต่ได้ C+ ฉุดเกรดทั้งหมดมากๆ วิชานี้พยายามตั้งใจที่สุดแล้ว อาจจะมีคุยบ้างถามเพื่อนข้างๆบ้าง แต่ ครูน่าจะให้เกรด ความพยายามมาเรียนและส่งงานใน ชั่วโมง ทุกครั้ง มากกว่าคะแนนสอบ (คะแนนสอบไม่ตกด้วย)",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
102,"เวลาที่นักศึกษาถามปัญหาเรื่อง code มัน bug ช่วยกรุณาตอบให้ชัดเจนทีครับบางทีถามไปเป็นสิบบรรทัดแต่อาจารย์กลับส่งสติกเกอร์มาตัวเดียวคืออะไรหรอครับ แล้วเวลานักศึกษาถามมากๆมันก็เป็นการที่ดีไม่ใช่หรอครับไมใช่ถอนหายใจใส่นักศึกษาครับ",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
103,อาจารย์ควรพักนะครับ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
104,ขอให้อ.ดูแลสุขภาพด้วยนะคะ,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
105,"เนื้อหาที่สอนสามารถนำมาประยุกต์ใช้ได้จริง วิชามันยาก แต่อาจารย์พยายามหาเทคนิคการจำให้เราง่ายๆ ขอบคุณค้าาาาาาาาา",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
106,"อยากให้มีเรียนออนไลน์ในวันที่สภาพอากาศไม่ดี งับ <3",80,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
107,"ถ้าอาจารย์ให้เช็คคะแนนเองว่าอาจารย์กรอกครบไหม อาจารย์น่าจะแจ้งวันตัดเกรดด้วยนะคะหนูจะได้ลางานมารีบเช็ครีบแจ้งก่อนวันตัดเกรด ขอบคุณค่ะ^^",90,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
108,"อยากให้เอกสารประกอบการสอนเป็นภาษาไทยให้อ่านเข้าใจง่าย และอยากให้สั่งงานกลุ่มให้ตรงกับเรื่องที่สอน",66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
109,บางครั้งสอนไวไปค่ะตามไม่ค่อยทัน,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
110,อยากได้พัดลม,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
111,อาจารย์ให้คำแนะนำดีค่ะ,66.67,positive,"2024-07-31 16:42:13","2024-07-31 16:42:13"
112,"ทีหลังช่วยสอนmath random ก่อนสอบด้วยครับแล้วก็เรื่องData base เรื่องการดึงข้อมูลในdataมาใช้ จารย์ไม่สอนผมก็ทำโปรเจคที่จารย์สั่งไม่ได้คะแนนผมก็หายสิครับแบบนี้ จารย์สั่งให้ทำเกินที่สอนไปหน่อยครับ แต่เรื่องที่สอนในห้องสอนเข้าใจ ถ้าจารย์สอนผมมั่นใจว่าพวกผมทำได้ เทอมนี้ขอบคุณมากครับ",88.89,positive,"2024-07-31 16:42:13","2024-07-31 16:42:13"
113,อาจารย์สอนดีมากครับ,83.33,positive,"2024-07-31 16:42:13","2024-07-31 16:42:13"
